id,SERVICE_NAME,STREET_ST_ADDRESS,STREET_SUBURB,STREET_PCODE,STREET_STATE,MAIN_PH_NUM,WEBSITE,sfd,dem,atsi,terminal,veteran,cald,lgbti,ADDRESS
0,Juniper Cygnet,4-10 HAYMAN Road  ,BENTLEY,6102.0,WA,+611300313000,www.juniper.org.au,True,True,False,False,False,False,False,4-10 HAYMAN Road  BENTLEY 6102 WA
1,Blue Care Labrador Aged Care Facility,83 MUIR Street  ,LABRADOR,4215.0,QLD,+611800838929,http://www.bluecare.org.au,True,True,False,True,False,False,False,83 MUIR Street  LABRADOR 4215 QLD
2,RSL Care Bolton Point - Macquarie Shores,12 The Ridgeway   ,BOLTON POINT,2283.0,NSW,+610249503933,http://www.rslcare.com.au/bolton-point,False,False,False,False,False,False,False,12 The Ridgeway   BOLTON POINT 2283 NSW
3,Ark Health Care Bankstown,1A HIXSON Street  ,BANKSTOWN,2200.0,NSW,+610297919609,http://www.arkhc.com,True,False,False,True,False,False,False,1A HIXSON Street  BANKSTOWN 2200 NSW
4,Regis Kirwan,1 Emerald Street  ,KIRWAN,4817.0,QLD,+611300998100,http://www.regis.com.au/residence/regis-kirwan/,False,False,False,False,False,False,False,1 Emerald Street  KIRWAN 4817 QLD
5,Rosary Village,1-10 Tara Close  ,YENNORA,2161.0,NSW,+610298924665,http://www.rosaryvillage.org.au,False,False,False,False,False,False,False,1-10 Tara Close  YENNORA 2161 NSW
6,Buckland House Nursing Home,1 HIGHETT Street  ,MANSFIELD,3722.0,VIC,+61035775880,NaN,False,False,False,False,False,False,False,1 HIGHETT Street  MANSFIELD 3722 VIC
7,Sir James Terrace,11 Stamp Street  ,DECEPTION BAY,4508.0,QLD,+610732047911,NaN,True,True,False,True,False,False,False,11 Stamp Street  DECEPTION BAY 4508 QLD
8,Bene Aged Care - The Italian Village,6 MUMFORD Avenue  ,ST AGNES,5097.0,SA,+610883970200,www.bene.org.au,False,False,False,False,False,False,False,6 MUMFORD Avenue  ST AGNES 5097 SA
9,Doutta Galla Woornack Aged Care Facility,6-8 KILLARA Street  ,SUNSHINE WEST,3020.0,VIC,+610411835337,http://ww.dgas.org.au,True,True,False,False,False,False,False,6-8 KILLARA Street  SUNSHINE WEST 3020 VIC
10,Corpus Christi Community Greenvale Incorporated,855 MICKLEHAM Road  ,GREENVALE,3059.0,VIC,+610393331444,NaN,True,True,False,True,False,False,False,855 MICKLEHAM Road  GREENVALE 3059 VIC
11,RFBI Moonbi Masonic Village - Jim Holm, New England Highway  ,KOOTINGAL,2352.0,NSW,+610267603811,http://www.rfbi.com.au,True,True,False,False,False,False,False, New England Highway  KOOTINGAL 2352 NSW
12,Uniting Lynvale Lane Cove,7-9 Lynvale Close  ,LANE COVE NORTH,2066.0,NSW,+611800864846,https://uniting.org/our-services/services/uniting-aged-care-home/uniting-lynvale-lane-cove,False,False,False,False,False,False,False,7-9 Lynvale Close  LANE COVE NORTH 2066 NSW
13,Fitzgerald Aged Care,1 Rum Corp Lane  ,WINDSOR,2756.0,NSW,+610245772800,NaN,True,True,False,False,False,False,False,1 Rum Corp Lane  WINDSOR 2756 NSW
14,Eidsvold Hospital Multipurpose Health Service,115 CRACOW Road  ,EIDSVOLD,4627.0,QLD,+610741657100,NaN,False,False,False,False,False,False,False,115 CRACOW Road  EIDSVOLD 4627 QLD
15,Southern Cross Care Young, Demondrille Street  ,YOUNG,2594.0,NSW,+611800632314,NaN,False,False,False,False,False,False,False, Demondrille Street  YOUNG 2594 NSW
16,Southern Cross Care Mawson Court,80 Caves Beach Road  ,CAVES BEACH,2281.0,NSW,+611800632314,http://www.sccliving.org.au,True,True,True,True,False,False,False,80 Caves Beach Road  CAVES BEACH 2281 NSW
17,Oaklands Residential Care Facility,2 JEAN Street  ,OAKLANDS PARK,5046.0,SA,+610882967284,http://www.acsagroup.com.au,False,False,False,False,False,False,False,2 JEAN Street  OAKLANDS PARK 5046 SA
